time;replicators;no_par;mean_R_par;mean_length_par;mean_mfe_par;no_templ;mean_R_templ;mean_length_templ;mean_mfe_templ;no_enz0;mean_R_enz0;mean_length_enz0;mean_mfe_enz0;mean_a_enz0;no_enz1;mean_R_enz1;mean_length_enz1;mean_mfe_enz1;mean_a_enz1;no_enz2;mean_R_enz2;mean_length_enz2;mean_mfe_enz2;mean_a_enz2;no_enz3;mean_R_enz3;mean_length_enz3;mean_mfe_enz3;mean_a_enz3;no_enz4;mean_R_enz4;mean_length_enz4;mean_mfe_enz4;mean_a_enz4;no_enz5;mean_R_enz5;mean_length_enz5;mean_mfe_enz5;mean_a_enz5;no_enz6;mean_R_enz6;mean_length_enz6;mean_mfe_enz6;mean_a_enz6;no_Genz0;mean_R_Genz0;mean_length_Genz0;mean_mfe_Genz0;mean_a_Genz0;no_Genz1;mean_R_Genz1;mean_length_Genz1;mean_mfe_Genz1;mean_a_Genz1;no_Genz2;mean_R_Genz2;mean_length_Genz2;mean_mfe_Genz2;mean_a_Genz2;no_Genz3;mean_R_Genz3;mean_length_Genz3;mean_mfe_Genz3;mean_a_Genz3;no_Genz4;mean_R_Genz4;mean_length_Genz4;mean_mfe_Genz4;mean_a_Genz4;no_Genz5;mean_R_Genz5;mean_length_Genz5;mean_mfe_Genz5;mean_a_Genz5;no_Genz6;mean_R_Genz6;mean_length_Genz6;mean_mfe_Genz6;mean_a_Genz6;no_A0;no_A1;no_A2;no_A3;no_A4;no_A5;no_A6;no_A7;no_replications;no_deaths
156000;79155;26392;10.5465;40.0809;-25.4822;7998;10.4706;41.4534;-25.6132;9185;10.9477;32.9441;-25.0837;0.728088;5056;10.1336;47.4227;-28.4848;0.887433;5980;10.5643;39.5349;-24.9179;0.938744;4782;10.1341;47.4205;-27.7893;0.93017;5498;10.6107;38.699;-24.3957;1.04538;5308;10.1408;47.3157;-27.5243;0.960198;8875;10.9439;33.0717;-23.948;0.809887;59;10.1944;46.4576;-24.5441;0.233872;24;10.1659;46.875;-24.825;0.487365;35;10.251;45.4571;-23.4743;0.318479;2;9.9533;51;-27.65;0.0623958;0;0;0;0;0;20;10.0962;48.2;-26.51;0.349992;22;10.1421;47.3182;-25.2182;0.197936;34390;44684;81;0;0;0;0;0;58623763;58623812
157000;78438;25934;10.5914;39.2715;-25.5013;7349;10.4618;41.6227;-25.5894;9445;10.947;32.9625;-24.8485;0.743111;4609;10.1351;47.402;-28.416;0.860858;6389;10.5655;39.5056;-25.0992;0.954069;4428;10.1212;47.6804;-27.8104;0.912452;6123;10.6251;38.4367;-24.6984;1.03951;4993;10.1369;47.3968;-27.4282;0.950809;9045;10.9543;32.8486;-24.1392;0.778572;76;10.119;47.9605;-23.6539;0.297796;15;9.93447;51.5333;-24.26;0.34086;56;10.3732;43.0179;-25.9232;0.151014;16;10.0752;48.6875;-24.9;0.216974;0;0;0;0;0;36;10.1287;47.75;-22.775;0.389888;47;10.3556;43.2979;-26.3021;0.412417;33283;45032;123;0;0;0;0;0;67018463;67019229
158000;76991;25285;10.604;39.0622;-25.2692;7150;10.4648;41.5547;-25.4592;8935;10.9795;32.3848;-25.0048;0.723684;4658;10.1274;47.5421;-28.4399;0.863396;6299;10.5949;39.0119;-24.5019;0.935075;4222;10.1286;47.531;-27.6992;0.899504;5964;10.6397;38.1838;-24.1911;1.03192;5271;10.1401;47.3322;-27.4932;0.932529;9119;10.9653;32.6909;-23.9998;0.806902;63;10.1151;47.873;-24.7317;0.203006;8;10.139;47.375;-25.2125;0.315534;41;10.1208;47.9024;-22.7366;0.0845547;12;10.123;47.75;-23.9417;0.207412;0;0;0;0;0;27;10.0977;48.1852;-25.6185;0.354105;25;10.1171;48.04;-22.192;0.176758;32435;44468;88;0;0;0;0;0;75359816;75362029
159000;78732;24803;10.5883;39.3363;-25.5783;7751;10.4879;41.1348;-25.6754;9754;10.9677;32.5927;-24.8896;0.704707;4809;10.1249;47.5868;-28.8146;0.855391;6318;10.5714;39.4003;-25.0143;0.957587;4664;10.118;47.7352;-27.9657;0.883859;5795;10.6202;38.5132;-24.5463;1.07107;5097;10.1377;47.3728;-27.6258;0.919843;9620;10.9571;32.8226;-23.8754;0.817437;96;10.1646;46.9479;-23.7135;0.252549;30;10.1732;46.7667;-24.5733;0.224448;49;10.1709;46.8163;-24.5;0.262794;22;10.0532;49.1364;-23.5273;0.332568;0;0;0;0;0;20;10.187;46.5;-23.84;0.48625;25;10.1069;48.04;-26.224;0.258556;32554;46057;121;0;0;0;0;0;83661122;83661594
159755;79416;25873;10.5852;39.387;-25.349;7868;10.5128;40.6764;-25.4456;9310;10.9663;32.6039;-24.743;0.712058;5051;10.1249;47.5827;-28.9901;0.879351;6311;10.593;39.0509;-24.639;0.926333;4809;10.1204;47.6816;-28.0945;0.89711;5910;10.6375;38.2257;-24.188;1.0649;5208;10.1393;47.3408;-27.6728;0.932469;9020;10.9565;32.8409;-23.5479;0.808165;24;10.0604;48.9583;-25.9958;0.174147;5;10.0966;48.2;-24.9;0.378554;41;10.0814;48.4878;-27.5024;0.144913;3;10.0556;49;-25.1667;0.206495;0;0;0;0;0;7;10.2312;45.7143;-22.6143;0.446701;32;10.1299;47.5312;-26.9375;0.481156;33741;45619;56;0;0;0;0;0;90000001;89999789
160000;79013;26403;10.5698;39.6685;-25.4496;7588;10.4774;41.3234;-25.7572;9264;10.9511;32.8827;-24.7756;0.707253;4876;10.1261;47.5597;-29.055;0.889253;6256;10.589;39.1045;-24.8392;0.929823;4497;10.1201;47.6862;-28.2001;0.916911;5684;10.6383;38.2053;-24.3496;1.05707;5356;10.1396;47.335;-27.4839;0.927116;9005;10.9596;32.7825;-23.6045;0.81308;76;10.0314;49.6053;-25.7197;0.166266;5;10.0555;49;-26.42;0.33731;41;9.9997;50.1463;-28.1561;0.0481317;12;10.163;47;-23.4333;0.230386;0;0;0;0;0;26;10.0593;49.2308;-22.2308;0.479989;8;10.1724;46.875;-23.875;0.473503;33991;44938;84;0;0;0;0;0;2074459;2074862
161000;77908;25723;10.557;39.8716;-25.6526;8407;10.4728;41.3954;-25.7552;8748;10.9339;33.1728;-25.0307;0.670876;4618;10.1148;47.7913;-28.9031;0.873602;6500;10.572;39.3948;-25.3073;0.909501;4186;10.1124;47.8483;-28.0111;0.915296;5998;10.6289;38.3605;-24.7659;1.07105;5328;10.1245;47.6306;-27.6875;0.940464;8354;10.9472;32.9953;-23.8872;0.810504;35;10.0445;49.2857;-25.6429;0.241317;7;9.98358;50.4286;-25.8;0.408089;18;10.062;48.9444;-25.6444;0.237752;9;10.0404;49.4444;-24.2111;0.492507;0;0;0;0;0;21;10.038;49.3333;-26.6476;0.457015;2;10.1138;48;-24.3;0.324016;34130;43732;46;0;0;0;0;0;10510903;10512411
162000;79175;26587;10.567;39.6965;-25.8679;7501;10.4489;41.8134;-25.967;8871;10.949;32.9158;-25.0209;0.701474;5020;10.1236;47.6235;-28.6378;0.861887;6365;10.5732;39.3637;-25.5181;0.931949;4494;10.1161;47.7839;-27.802;0.955658;5871;10.6247;38.4137;-25.3262;1.06715;5304;10.1381;47.368;-27.7506;0.946325;9042;10.9626;32.7064;-24.2202;0.789597;93;10.0395;49.4194;-25.0785;0.153236;7;9.75998;55;-26.1;0.0633347;38;10.1435;47.3158;-26.3342;0.0693909;41;9.96417;50.9268;-24.6268;0.489979;0;0;0;0;0;34;10.0925;48.2941;-25.4324;0.443247;27;10.0658;48.7778;-26.8704;0.580629;34088;44967;120;0;0;0;0;0;18911083;18911324
163000;79438;26010;10.5905;39.2649;-25.5498;7419;10.4631;41.5543;-25.6126;8940;10.9224;33.3474;-25.1066;0.715729;4929;10.1482;47.1499;-28.2652;0.912224;6674;10.5784;39.2866;-25.1491;0.954225;4367;10.132;47.4754;-27.6313;0.915349;6113;10.6346;38.2601;-24.7754;1.04082;5275;10.1454;47.2281;-27.346;0.953727;9551;10.9269;33.3125;-24.1267;0.772995;145;10.1087;48.0483;-24.529;0.313449;13;10.1896;46.5385;-22.4923;0.412886;27;10.0975;48.2222;-25.7;0.121251;47;10.0223;49.6596;-27.3255;0.489895;0;0;0;0;0;73;10.1561;47.1507;-23.2205;0.439928;15;10.1186;47.7333;-27.2667;0.357385;33429;45849;160;0;0;0;0;0;27287061;27287039
164000;78309;26661;10.5626;39.7687;-25.8778;7243;10.5106;40.7102;-25.521;8919;10.9393;33.0703;-25.0665;0.720931;4339;10.1277;47.5393;-28.6248;0.892012;6691;10.5927;39.0173;-25.1971;0.964266;4299;10.1258;47.5887;-27.6836;0.914091;6302;10.6346;38.2548;-24.79;1.06093;5021;10.1328;47.4625;-27.8054;0.93921;8679;10.9466;32.9761;-24.0526;0.842078;112;10.1299;47.6429;-24.4045;0.194388;21;10.0796;48.5238;-25.5333;0.388315;70;10.1276;47.6571;-24.8729;0.087523;3;10.1329;47.6667;-22.1667;0.208898;0;0;0;0;0;60;10.1441;47.4333;-23.4767;0.393136;44;10.123;47.7727;-24.3659;0.365675;33904;44250;155;0;0;0;0;0;35642974;35644081
165000;79505;26178;10.582;39.4151;-25.4609;7557;10.4829;41.2026;-25.6377;9149;10.9514;32.8882;-24.8467;0.714672;4598;10.1403;47.2927;-28.5502;0.908707;6960;10.5897;39.0547;-25.2781;0.926567;4429;10.1328;47.4525;-27.6285;0.939295;6280;10.6341;38.242;-24.9477;1.07871;5042;10.1464;47.21;-27.2746;0.937117;9180;10.9621;32.7484;-23.8555;0.808955;107;10.1232;47.7944;-25.271;0.264004;10;10.0659;48.8;-25.06;0.0500973;44;10.2317;45.7273;-24.9;0.324457;18;10.081;48.5556;-24.2778;0.448432;0;0;0;0;0;60;10.0726;48.7333;-26.0517;0.387648;25;10.1392;47.36;-25.692;0.526735;33735;45638;132;0;0;0;0;0;44059603;44059514
166000;79771;26060;10.5816;39.4528;-25.7103;6721;10.4834;41.208;-25.6328;9944;10.9535;32.8266;-25.243;0.719852;4673;10.119;47.6989;-29.0454;0.888898;6724;10.6045;38.8247;-24.7029;0.927429;4607;10.1154;47.7849;-27.8869;0.9429;6035;10.653;37.9433;-24.3533;1.07986;5224;10.1286;47.5446;-27.8161;0.954328;9658;10.9737;32.5315;-24.0648;0.85267;119;10.0592;48.916;-27.1655;0.347123;42;10.1452;47.2143;-26.3976;0.521272;19;10.0659;48.7895;-27.2789;0.203452;10;10.0032;50.2;-25.03;0.31555;0;0;0;0;0;54;10.0102;49.8519;-28.1685;0.470053;6;10.1477;47.1667;-27.6167;0.348616;32781;46865;125;0;0;0;0;0;52441490;52441135
167000;77909;25319;10.6059;39.04;-25.3402;7368;10.4731;41.4084;-25.4787;9567;10.9414;33.0648;-25.1598;0.715123;4594;10.1235;47.6197;-28.7329;0.865702;6562;10.6064;38.7737;-24.9885;0.935591;3753;10.1158;47.7874;-27.5638;0.931534;6134;10.6545;37.9041;-24.5457;1.07608;4819;10.119;47.735;-27.6878;0.942696;9596;10.9675;32.6343;-24.0463;0.813039;179;10.094;48.3073;-24.6983;0.235517;29;10.1866;46.5862;-23.5207;0.300674;28;10.1633;46.9286;-25.3786;0.0762976;33;10.1071;48.1515;-22.9424;0.332726;0;0;0;0;0;107;10.0661;48.8037;-25.3804;0.46425;18;10.2092;46.0556;-24.6944;0.56121;32687;45025;197;0;0;0;0;0;60787082;60788589
168000;78673;25392;10.569;39.6633;-25.6178;7752;10.4533;41.7251;-25.987;9544;10.9512;32.868;-25.0286;0.734069;4455;10.1127;47.8159;-29.4342;0.846125;6700;10.6095;38.7128;-25.1852;0.975649;4350;10.1108;47.8763;-27.8768;0.943342;6130;10.6534;37.9243;-24.7049;1.09764;5100;10.1214;47.6871;-27.7862;0.88683;9151;10.9732;32.5138;-24.1955;0.821725;83;10.1161;47.9398;-24.9313;0.298518;2;10.1128;48;-24.05;0.306953;26;10.1626;47.1538;-24.4423;0.0781047;33;10.0878;48.4848;-24.8455;0.427852;0;0;0;0;0;40;10.1247;47.675;-25.2;0.418706;14;10.1616;47;-24.9857;0.372896;33144;45430;99;0;0;0;0;0;69158206;69158949
169000;79991;25468;10.5826;39.4248;-25.7895;7319;10.4758;41.3238;-25.866;9361;10.9493;32.8887;-25.3906;0.750028;4913;10.1172;47.7319;-29.1929;0.911595;7086;10.5918;39.0216;-25.346;0.94693;4614;10.1052;47.9824;-28.0262;0.948626;6524;10.6405;38.1344;-24.9235;1.07388;4793;10.1161;47.7882;-27.777;0.963891;9708;10.9702;32.5823;-24.201;0.851017;105;10.058;49.0286;-26.4743;0.244673;25;10.1614;47.08;-23.704;0.439435;117;10.17;46.7094;-29.3051;0.0546663;28;9.97298;50.7143;-29.2857;0.494077;0;0;0;0;0;35;10.0661;48.8571;-24.8743;0.474515;100;10.194;46.24;-29.321;0.505862;32787;46999;205;0;0;0;0;0;77570999;77570424
170000;79844;26345;10.5757;39.5631;-25.5825;7137;10.4485;41.8543;-25.7427;9287;10.94;33.102;-24.7828;0.6858;5012;10.1012;48.0513;-29.0976;0.899462;6859;10.6179;38.5919;-24.8403;0.918551;4547;10.0981;48.1227;-28.1213;0.934476;6159;10.6593;37.8459;-24.37;1.08243;5267;10.1125;47.8682;-27.7372;0.968868;8975;10.9656;32.6862;-23.7642;0.844981;230;10.0511;49.0913;-26.82;0.211278;57;10.046;49.2281;-26.6702;0.278586;22;10.1471;47.2273;-27.0409;0.151726;90;10.0789;48.5444;-25.4833;0.483289;0;0;0;0;0;85;10.021;49.6588;-28.2012;0.435856;28;10.1145;47.8571;-27.1964;0.349106;33482;46106;256;0;0;0;0;0;86002137;86001709
170474;79242;27360;10.5679;39.6959;-25.7069;7264;10.4206;42.3651;-25.9067;8791;10.9236;33.3831;-25.0049;0.713051;5018;10.1071;47.934;-29.1364;0.891374;6592;10.5898;39.0793;-25.0736;0.8557;4385;10.1049;47.9884;-28.1651;0.9148;5664;10.6497;38.0083;-24.5151;1.05036;5458;10.1056;47.9927;-28.0352;0.930565;8441;10.9649;32.6975;-23.7636;0.839621;213;10.0774;48.5962;-25.3864;0.298184;19;10.0255;49.5789;-27.3579;0.366741;22;10.0622;48.8182;-31.4227;0.0529757;142;10.0747;48.6549;-25.0535;0.356878;0;0;0;0;0;82;10.0636;48.9024;-24.7768;0.483315;60;10.0335;49.4667;-26.8583;0.20162;34624;44349;269;0;0;0;0;0;90000001;90000175
171000;78379;25435;10.5808;39.4699;-25.5646;7392;10.4062;42.6075;-25.9127;8756;10.9531;32.9017;-24.5592;0.729978;4797;10.1023;48.0284;-29.2055;0.883168;6929;10.5703;39.4588;-25.024;0.825533;4185;10.1012;48.0669;-28.1335;0.939428;6222;10.6437;38.1112;-24.546;1.04184;5234;10.1114;47.8878;-27.6973;0.972752;9146;10.9699;32.6304;-23.7406;0.798758;245;10.074;48.6816;-25.2669;0.225269;3;10.0208;49.6667;-26.4667;0.434796;51;10.2062;46.2745;-25.9216;0.107085;143;10.059;48.9441;-25.4979;0.456962;0;0;0;0;0;86;10.0634;48.907;-25.1256;0.463601;38;10.1671;47.0263;-26.7895;0.295791;32827;45269;283;0;0;0;0;0;4423711;4424574
172000;79689;24828;10.5985;39.1852;-25.624;7700;10.439;42.0348;-26.1601;9962;10.9652;32.6905;-24.6215;0.729621;4758;10.0978;48.1118;-29.6635;0.883353;7019;10.5608;39.6125;-25.2122;0.86305;4345;10.0845;48.3841;-28.5697;0.974233;5855;10.6266;38.3971;-24.7293;1.07444;5206;10.1054;47.9981;-28.1101;0.978841;9785;10.996;32.171;-23.7329;0.817509;200;10.0285;49.61;-25.742;0.19249;43;10.1301;47.6744;-24.0047;0.388828;56;10.0679;48.8571;-26.1464;0.123521;33;9.94906;51.1212;-28.5576;0.461536;0;0;0;0;0;92;10.0103;49.9674;-25.3141;0.433382;38;10.0426;49.3684;-26.9342;0.338202;32528;46930;231;0;0;0;0;0;12862717;12862270
173000;79226;24498;10.5831;39.4694;-25.7332;7463;10.4388;42.0515;-25.8372;9973;11.0012;32.0703;-24.4953;0.772372;4780;10.0892;48.2812;-29.4453;0.900661;6942;10.5356;40.053;-25.5547;0.837949;4121;10.0807;48.4625;-28.4083;0.958278;5868;10.6131;38.6457;-24.8169;1.05128;5271;10.0929;48.2364;-28.4004;0.989308;10017;11.0127;31.9057;-23.6753;0.880088;258;10.0813;48.4961;-26.1922;0.264775;9;10.0627;49;-24.6667;0.451381;74;10.0691;48.6757;-30.5176;0.0765191;134;10.0692;48.7388;-25.6567;0.480574;0;0;0;0;0;78;10.0999;48.141;-25.7718;0.483339;33;10.051;49;-32.997;0.463109;31961;46972;293;0;0;0;0;0;21293277;21293293
174000;79242;24590;10.5878;39.385;-25.3605;7954;10.4731;41.458;-25.6872;9775;10.9698;32.6095;-24.7295;0.711724;4897;10.0948;48.1764;-29.1074;0.919946;6444;10.5458;39.8745;-25.3539;0.837811;4497;10.0892;48.3044;-27.9612;0.94089;5883;10.6119;38.6638;-24.8776;1.07192;5390;10.1032;48.0579;-27.6801;0.965993;9534;10.987;32.341;-23.8907;0.852042;166;10.0385;49.3614;-26.0873;0.373355;3;10.0036;50;-26.4;0.564723;158;10.0792;48.5506;-26.3506;0.140825;76;10.0544;49.0395;-25.3013;0.473059;0;0;0;0;0;41;10.0452;49.2927;-25.3195;0.380582;112;10.1083;47.9911;-25.6527;0.331891;32544;46420;278;0;0;0;0;0;29662695;29662695
175000;79198;25401;10.5876;39.364;-25.5685;8281;10.4731;41.409;-25.7655;9202;10.9582;32.7828;-24.8557;0.692652;4777;10.0957;48.1616;-29.0979;0.925499;6814;10.5318;40.1211;-25.644;0.79461;4352;10.0974;48.1512;-27.7386;0.938391;5947;10.6159;38.5739;-24.8733;1.00668;5028;10.1099;47.9232;-27.8363;0.98065;9291;10.981;32.4232;-23.854;0.795739;90;10.1075;48.0444;-24.8644;0.132151;19;10.0688;48.8421;-23.1947;0.101005;39;10.1695;46.7949;-25.7026;0.0929751;15;10.0294;49.6;-24.48;0.492544;0;0;0;0;0;34;10.1199;47.8235;-25.1735;0.470141;13;10.1606;47;-26.3385;0.475453;33682;45411;105;0;0;0;0;0;38075254;38075298
176000;80142;26599;10.6022;39.0949;-25.3262;7795;10.4787;41.2981;-25.4881;9055;10.9545;32.8483;-24.7801;0.725506;4763;10.1252;47.59;-28.5577;0.909164;6876;10.5645;39.5508;-24.9682;0.766679;4576;10.1245;47.6283;-27.377;0.920939;5845;10.6357;38.2612;-24.4343;1.05277;5454;10.1337;47.4639;-27.3865;0.970761;9047;10.9808;32.4253;-23.6644;0.817559;105;10.1323;47.6095;-24.1219;0.237159;22;10.1802;46.5909;-25.3955;0.347781;35;10.1582;47.1143;-23.9286;0.0585616;41;10.081;48.561;-24.7927;0.329102;6;10.334;44;-20.1;0.0668788;34;10.1968;46.4706;-22.3353;0.384179;21;10.1724;46.7619;-24.7;0.298003;34394;45616;132;0;0;0;0;0;46402709;46401809
177000;79242;25282;10.6293;38.617;-25.2368;7192;10.4898;41.1128;-25.4858;10144;10.9508;32.8873;-24.9948;0.716719;4792;10.1176;47.7321;-28.5482;0.923243;6522;10.6155;38.6613;-24.4163;0.81002;4437;10.1134;47.8341;-27.6336;0.960774;5724;10.6791;37.4941;-24.1772;1.06292;5018;10.1312;47.503;-27.5171;0.963479;9891;10.981;32.3948;-23.9472;0.824956;202;10.0866;48.4653;-24.9371;0.110065;41;10.048;49.122;-26.5829;0.412818;43;10.1298;47.5349;-26.8907;0.068596;28;10.0989;48.4286;-24.2286;0.435573;0;0;0;0;0;126;10.0943;48.3095;-24.2976;0.422604;40;10.1174;47.775;-26.98;0.344435;32474;46528;240;0;0;0;0;0;54790803;54790803
178000;78752;24791;10.6227;38.7146;-25.3274;7717;10.4829;41.2384;-25.4355;9672;10.936;33.1515;-25.0795;0.715638;4886;10.1215;47.6545;-28.5784;0.900819;6561;10.5929;39.073;-24.695;0.780769;4320;10.1135;47.8292;-27.6917;0.967854;5954;10.6819;37.4458;-24.5175;1.05782;5279;10.131;47.4993;-27.7758;0.941073;9210;10.9705;32.5798;-23.926;0.863298;346;10.0717;48.7312;-25.6581;0.246871;113;10.0476;49.1504;-26.5558;0.408511;27;10.14;47.4444;-25.437;0.0617214;54;10.1273;47.7593;-23.0796;0.458434;0;0;0;0;0;169;10.0698;48.7574;-25.974;0.469127;15;10.1939;46.3333;-26.64;0.444227;32508;45882;362;0;0;0;0;0;63220746;63221236
179000;79351;25924;10.5698;39.6877;-25.2442;7661;10.4609;41.6148;-25.4912;9046;10.9233;33.3928;-24.661;0.735384;4754;10.126;47.5705;-28.5144;0.919153;6749;10.6127;38.7265;-24.359;0.790821;4757;10.125;47.6077;-27.5534;0.902438;5770;10.7041;37.0683;-23.7927;1.05654;5436;10.1301;47.5302;-27.2744;0.966192;8994;10.9463;33.0179;-23.6547;0.852651;239;10.0916;48.3598;-24.305;0.154383;23;10.0536;49.0435;-25.9957;0.4196;49;10.0992;48.1429;-26.6633;0.0555399;114;10.0872;48.4912;-22.9149;0.48951;0;0;0;0;0;74;10.1164;47.8378;-25.1432;0.469461;21;10.1315;47.4762;-27.0667;0.34438;33585;45506;260;0;0;0;0;0;71638194;71638085
180000;77930;24527;10.6034;39.0736;-25.2598;7820;10.486;41.1616;-25.5359;9580;10.9233;33.3562;-24.9429;0.716177;4484;10.1276;47.5323;-28.8495;0.934866;6770;10.6067;38.8492;-24.3491;0.754583;4183;10.1222;47.6555;-27.8583;0.943279;5682;10.7166;36.8631;-23.6032;1.07493;5340;10.1279;47.5577;-27.8128;0.979228;9430;10.9414;33.0543;-24.0673;0.865402;72;10.1754;46.9167;-24.1444;0.184043;3;10.0374;49.3333;-27;0.458943;71;10.2824;44.9718;-22.9254;0.0599895;27;10.0642;48.8889;-24.9556;0.432708;0;0;0;0;0;13;10.1312;47.5385;-25.8154;0.408087;42;10.2612;45.2619;-23.3262;0.452133;32347;45469;114;0;0;0;0;0;80062164;80063476
181000;79670;25426;10.5912;39.2921;-25.5228;8034;10.4631;41.5972;-25.6621;9492;10.9328;33.2084;-24.8772;0.73884;4731;10.1191;47.6975;-29.0141;0.925337;7213;10.6368;38.2871;-24.4899;0.772318;4325;10.1267;47.5704;-27.6541;0.946909;5943;10.7308;36.6281;-23.6465;1.08058;4950;10.1222;47.6711;-27.8698;0.92805;9295;10.9669;32.6634;-23.7702;0.835299;207;10.06;48.9662;-25.9285;0.220238;30;10.0576;48.9333;-26.79;0.471093;63;10.167;47.127;-24.919;0.139735;75;10.0647;48.92;-24.2573;0.365458;0;0;0;0;0;92;10.0481;49.1848;-27.0293;0.456674;55;10.1611;47.2909;-24.5745;0.312812;33460;45949;261;0;0;0;0;0;88482776;88482348
181180;77244;24078;10.5753;39.5558;-25.5756;7462;10.4702;41.4626;-25.6042;9605;10.9286;33.2568;-25.1226;0.735262;4470;10.1148;47.7812;-29.148;0.905167;7301;10.6433;38.1811;-24.4295;0.792334;3912;10.1133;47.8295;-27.807;0.950508;6011;10.7244;36.7335;-23.7431;1.09258;4843;10.1242;47.6345;-27.9632;0.924204;9317;10.9579;32.7903;-24.041;0.851281;174;10.1063;48.0575;-24.6701;0.154227;36;10.1018;48.0833;-25.8222;0.449691;106;10.0415;49.3302;-25.5434;0.0842446;47;10.1009;48.1277;-25.0106;0.291503;0;0;0;0;0;55;10.0944;48.3273;-23.6036;0.485892;72;10.0016;50.1111;-25.7208;0.275535;31540;45459;245;0;0;0;0;0;90000001;90001999
182000;79526;26448;10.5867;39.37;-25.5109;7956;10.4813;41.2528;-25.8081;9085;10.9245;33.3559;-24.8366;0.736532;4921;10.1097;47.8791;-29.0691;0.940109;6837;10.6174;38.6197;-24.8465;0.749538;4529;10.1097;47.8956;-27.8307;0.970134;5765;10.7066;37.0023;-24.1465;1.10445;4901;10.1166;47.7751;-27.9053;0.974432;8929;10.9428;33.0663;-23.8467;0.789093;135;10.042;49.3333;-26.1978;0.159911;11;10.0487;49.0909;-27.2182;0.4415;50;10.1429;47.48;-25.008;0.0971097;56;9.98303;50.4107;-27.9179;0.339388;0;0;0;0;0;38;10.0658;48.8684;-24.4421;0.258942;20;10.1781;46.7;-25.265;0.439061;34404;44967;155;0;0;0;0;0;6897253;6894971
183000;79912;24855;10.5884;39.3166;-25.5256;7595;10.4412;41.9373;-25.9149;9684;10.92;33.4171;-25.0894;0.707421;5283;10.1137;47.802;-29.0969;0.93559;7580;10.6074;38.7963;-24.9024;0.785309;4448;10.1098;47.9;-27.8736;0.961384;6084;10.6919;37.2513;-24.4395;1.08306;4986;10.1202;47.7034;-27.9068;0.945159;9183;10.9498;32.9246;-24.2053;0.831929;175;10.1;48.1714;-24.9834;0.122688;51;10.0967;48.1765;-26.1863;0.322256;48;10.1101;48.0208;-25.1396;0.123778;36;10.1095;48.0556;-23.8639;0.335049;0;0;0;0;0;79;10.1079;48.0127;-24.462;0.448322;39;10.1331;47.5641;-24.659;0.417196;32450;47248;214;0;0;0;0;0;15291865;15289197
184000;79114;25232;10.5667;39.6943;-25.8355;7980;10.4666;41.4911;-25.8416;8925;10.8819;34.0497;-25.5767;0.736376;5074;10.1099;47.877;-29.2753;0.947121;7213;10.6068;38.8259;-24.6132;0.769325;4453;10.1034;48.0157;-28.1227;0.99476;5995;10.699;37.1369;-24.0576;1.08539;5254;10.1147;47.8061;-28.2001;0.981504;8824;10.9245;33.3284;-24.5348;0.880808;111;10.1315;47.6036;-24.7748;0.223686;1;10.0532;49;-27.1;0.564762;75;10.175;46.7333;-26.4067;0.0608476;35;10.0486;49.2;-24.4543;0.474921;0;0;0;0;0;55;10.1535;47.0909;-25.3309;0.430107;51;10.1663;46.7843;-27.7627;0.592495;33212;45738;164;0;0;0;0;0;23649407;23647537
185000;78041;26052;10.5606;39.8101;-25.778;7761;10.4119;42.4867;-26.1366;9050;10.8804;34.0625;-25.5985;0.706656;4593;10.1007;48.0577;-29.4452;0.952886;6620;10.5474;39.8932;-24.8919;0.740432;4082;10.0934;48.2119;-28.1673;0.966231;5591;10.6609;37.8059;-24.5482;1.04127;4575;10.0991;48.1165;-28.1702;0.959909;9519;10.917;33.4365;-24.6724;0.848473;185;10.1118;47.9676;-24.9216;0.305708;13;10.191;46.3077;-27.9154;0.550477;45;10.0851;48.4444;-25.2467;0.100442;82;10.122;47.8293;-23.9915;0.413692;0;0;0;0;0;55;10.111;47.9455;-25.5691;0.327672;16;10.1139;47.9375;-24.6688;0.296707;33813;44030;198;0;0;0;0;0;32030265;32029468
186000;80389;26885;10.5279;40.3956;-25.9729;7908;10.4359;42.0679;-26.0622;9018;10.8844;34.0064;-25.3932;0.717881;4904;10.1142;47.7894;-29.2472;0.941562;7676;10.5603;39.6442;-25.1069;0.773348;4546;10.1076;47.9322;-27.9644;0.941398;5842;10.6702;37.6328;-24.4255;1.08643;4786;10.1089;47.9235;-28.212;0.976028;8732;10.9101;33.5616;-24.6054;0.890256;74;10.0862;48.4189;-26.2622;0.20746;1;10.0532;49;-27.1;0.451809;32;10.1112;47.9688;-26.2281;0.0902144;19;10.0566;48.9474;-26.4474;0.507183;0;0;0;0;0;40;10.0872;48.375;-26.55;0.502855;18;10.0998;48.1111;-27.0833;0.459274;34793;45504;92;0;0;0;0;0;40373606;40370461
